"","Sensitivity","Se 95% CI, Lower limit","Se 95% CI, Upper limit","Specificity","Spec 95% CI, Lower limit","Spec 95% CI, Upper limit","Std Dev Study","Corr study","N_study","Mean posLR","Median posLR","posLR 95% CI, Lower limit","posLR 95% CI, Upper limit","Mean negLR","Median negLR","negLR 95% CI, Lower limit","negLR 95% CI, Upper limit","Mean DOR","Median DOR","DOR 95% CI, Lower limit","DOR 95% CI, Upper limit","AUC","abs_diff","protein","cat","Wald_Pval","adj.Pval"
"316",0.924592772089165,0.783720944181584,0.976464236411749,0.515209814982088,0.256637897031981,0.765887445799681,0.667257670144333,-1,3,2.06,1.89,1.18,3.97,0.188,0.15,0.0403,0.557,19.6,13,2.21,76.9,91,0.409382957107077,"B3GNT2","Not significant",0.000231473940903023,0.000412405865351992
"317",0.852008773151783,0.696702951571991,0.935187054291395,0.499520561485449,0.326880052921094,0.672275462243494,0.23539302597569,-1,3,1.75,1.69,1.15,2.68,0.332,0.299,0.115,0.737,7.15,5.74,1.58,21,67,0.352488211666334,"FUCA1","Not significant",0.000621979608360974,0.00100657033286418
"318",0.504069076151932,0.306742944147268,0.700135694646245,0.737898944029292,0.551252453209996,0.86581142960073,0.791178953557068,-1,6,2.15,1.92,0.745,4.87,0.7,0.674,0.359,1.19,3.87,2.86,0.624,13.1,68,0.23382986787736,"LGALS1","Not significant",0.00306498583773322,0.00426987266633997
"319",0.770229845699081,0.433828037701521,0.936163714651326,0.766664906828558,0.380729203998152,0.946119626737266,1.05083953748867,-1,3,4.56,3.23,0.835,16.3,0.394,0.307,0.0723,1.23,30.4,11,0.675,179,83,0.00356493887052323,"NAPA","Not significant",0.00557691684776274,0.00722024834557016
"320",0.692202691033335,0.530034831988927,0.817662536141827,0.73705409302932,0.609247951841673,0.834418807981912,1.03073510960833,-0.898598453292546,16,2.75,2.62,1.42,4.79,0.435,0.418,0.224,0.743,7.58,6.3,1.92,20.8,78,0.0448514019959849,"BCHE","70-79%",2.23545222399376e-14,3.19209427867345e-13
"321",0.797682169571602,0.624603857098675,0.903314291003652,0.5411521013523,0.29910767077996,0.765219894977819,0.977658086744691,-1,5,1.89,1.73,0.929,3.75,0.444,0.375,0.134,1.16,6.94,4.66,0.803,26.9,75,0.256530068219303,"DAG1","Not significant",3.70666351833365e-06,9.72748723324859e-06
"322",0.780097573870635,0.416038348195659,0.946420884773087,0.748616090487991,0.436750106163749,0.919594645372197,0.912866864841452,1,3,3.31,2.98,1.58,6.92,0.325,0.302,0.0993,0.673,12.3,10.6,3.56,31.4,83,0.031481483382644,"SCGB3A1","Not significant",0.243528545127016,0.246062661101283
"323",0.860219726339061,0.747043305056583,0.927662641662292,0.800756211910144,0.477602590794048,0.946429829709466,1.15813989405286,1,4,5.39,4.28,1.65,15.7,0.192,0.181,0.093,0.351,33.5,24.7,5.4,113,87,0.0594635144289176,"AKAP12","Not significant",5.02671517498392e-06,1.29125408330936e-05
"324",0.84635425823508,0.611456368506965,0.95069363852482,0.856108592545244,0.526493587754774,0.969545775204681,1.13803695539701,0.99999970811743,3,7.48,5.77,1.93,23.1,0.202,0.186,0.0729,0.418,40.2,32.8,9.35,115,91,0.00975433431016426,"HPRT1","90+%",0.0261746426761505,0.0297258222673008
"325",0.549046003663365,0.453118895638208,0.641460936651668,0.786347248492771,0.679701479626967,0.864560077192465,0.979973300000802,-0.706043047912131,17,2.68,2.57,1.51,4.47,0.581,0.575,0.428,0.771,4.89,4.48,1.97,10.2,70,0.237301244829406,"C1QA","Not significant",4.32830743510255e-09,1.95478442766724e-08
